,TRIP_TIME_OF_DAY,TRIP_DURATION_MIN,DAY_TYPE,PAYMENT_TYPE,FARE_PER_MILE,HAS_TIP,HAS_EXTRAS,PICKUP_COMMUNITY_AREA,DROPOFF_COMMUNITY_AREA,FARE
0,morning,30.0,Tuesday,Electronic,12.447470817120623,1,0,8.0,17.0,31.99
1,evening,15.0,Tuesday,Electronic,8.26271186440678,1,1,8.0,8.0,9.75
2,evening,15.0,Tuesday,Cash,7.945736434108527,0,0,32.0,8.0,10.25
3,evening,60.0,Tuesday,Cash,6.418918918918918,0,1,32.0,24.0,23.75
4,evening,30.0,Tuesday,Cash,8.695652173913045,0,0,32.0,8.0,10.0
5,evening,30.0,Tuesday,Electronic,7.971014492753624,1,0,8.0,28.0,11.0
6,evening,30.0,Tuesday,Cash,7.25,0,0,8.0,28.0,14.5
7,evening,30.0,Tuesday,Electronic,7.195121951219513,1,1,8.0,28.0,14.75
8,evening,0.87,Tuesday,Cash,9.195402298850574,0,1,8.0,8.0,8.0
9,evening,15.0,Monday,Electronic,11.535483870967742,1,0,32.0,6.0,17.88
10,morning,75.0,Monday,Electronic,6.922196796338673,0,0,5.0,13.0,30.25
11,evening,0.6,Tuesday,Cash,10.833333333333334,0,1,32.0,28.0,6.5
12,evening,15.0,Tuesday,Electronic,9.375,1,0,8.0,8.0,7.5
13,afternoon,15.0,Tuesday,Cash,9.375,0,1,32.0,8.0,7.5
14,afternoon,15.0,Monday,Other,11.25,0,0,7.0,7.0,6.75
15,evening,30.0,Tuesday,Electronic,7.962962962962963,1,0,32.0,8.0,10.75
16,morning,15.0,Monday,Cash,5.689655172413794,0,0,8.0,8.0,8.25
17,morning,45.0,Tuesday,Cash,6.902356902356902,0,0,8.0,8.0,20.5
18,morning,15.0,Tuesday,Cash,5.027932960893855,0,0,8.0,32.0,9.0
19,evening,15.0,Tuesday,Electronic,9.493670886075948,1,0,32.0,28.0,7.5
20,morning,30.0,Monday,Cash,8.273381294964029,0,0,32.0,32.0,11.5
21,evening,0.52,Tuesday,Electronic,11.538461538461538,1,0,8.0,8.0,6.0
22,evening,15.0,Tuesday,Cash,9.0,0,0,8.0,32.0,9.0
23,morning,15.0,Tuesday,Cash,8.910891089108912,0,0,8.0,24.0,9.0
24,afternoon,30.0,Tuesday,Cash,8.194444444444445,0,0,76.0,76.0,14.75
25,evening,0.6,Monday,Electronic,15.0,1,0,7.0,8.0,9.0
26,afternoon,105.0,Monday,Electronic,6.792717086834735,0,0,22.0,34.0,48.5
27,morning,60.0,Monday,Electronic,6.7774936061381075,0,0,13.0,2.0,26.5
28,evening,15.0,Tuesday,Cash,7.352941176470589,0,1,32.0,8.0,12.5
29,morning,60.0,Monday,Electronic,6.625,0,0,41.0,41.0,26.5
30,evening,45.0,Tuesday,Electronic,6.979166666666667,1,0,8.0,24.0,16.75
31,afternoon,15.0,Tuesday,Cash,9.523809523809524,0,0,8.0,32.0,8.0
32,evening,15.0,Tuesday,Cash,9.337349397590362,0,1,32.0,24.0,7.75
33,afternoon,45.0,Tuesday,Electronic,7.154882154882155,0,1,28.0,29.0,21.25
34,evening,30.0,Tuesday,Cash,7.297297297297297,0,0,32.0,32.0,13.5
35,evening,0.9,Tuesday,Cash,9.166666666666666,0,0,8.0,8.0,8.25
36,morning,0.57,Monday,Cash,10.964912280701755,0,0,32.0,8.0,6.25
37,evening,15.0,Tuesday,Electronic,10.483870967741936,1,0,32.0,8.0,6.5
38,afternoon,60.0,Tuesday,Cash,6.567796610169491,0,0,32.0,7.0,23.25
39,evening,15.0,Tuesday,Cash,7.962962962962963,0,0,32.0,8.0,10.75
40,afternoon,15.0,Monday,Electronic,7.643312101910828,1,0,41.0,39.0,12.0
41,evening,90.0,Tuesday,Electronic,6.535648994515539,0,0,2.0,8.0,35.75
42,afternoon,15.0,Tuesday,Electronic,8.189655172413794,0,1,8.0,8.0,9.5
43,evening,0.6,Tuesday,Electronic,10.416666666666668,1,0,32.0,32.0,6.25
44,morning,30.0,Tuesday,Cash,7.36842105263158,0,0,3.0,3.0,14.0
45,evening,15.0,Tuesday,Electronic,8.673469387755102,1,0,8.0,32.0,8.5
46,morning,30.0,Tuesday,Electronic,7.558139534883721,0,0,3.0,3.0,13.0
47,night,60.0,Monday,Electronic,6.6537467700258395,0,0,8.0,2.0,25.75
48,afternoon,30.0,Monday,Cash,6.4655172413793105,0,1,8.0,8.0,18.75
49,evening,30.0,Monday,Cash,7.215447154471545,0,0,2.0,3.0,17.75
50,afternoon,60.0,Monday,Electronic,7.4,0,1,8.0,7.0,27.75
51,morning,60.0,Tuesday,Electronic,6.813186813186814,0,0,32.0,28.0,31.0
52,morning,15.0,Monday,Electronic,8.49056603773585,0,0,6.0,6.0,9.0
53,afternoon,0.67,Monday,Electronic,10.074626865671641,1,0,8.0,8.0,6.75
54,afternoon,30.0,Tuesday,Cash,7.532051282051282,0,1,32.0,32.0,11.75
55,evening,15.0,Tuesday,Electronic,8.5,1,0,28.0,28.0,8.5
56,morning,15.0,Tuesday,Cash,11.0,0,0,8.0,8.0,5.5
57,morning,15.0,Tuesday,Cash,12.0,0,0,32.0,32.0,6.0
58,afternoon,15.0,Monday,Other,8.5,0,1,7.0,7.0,8.5
59,morning,0.5,Monday,Cash,11.5,0,0,8.0,8.0,5.75
60,afternoon,15.0,Tuesday,Cash,8.571428571428571,0,0,8.0,32.0,9.0
61,morning,15.0,Monday,Electronic,8.737864077669903,1,0,8.0,8.0,9.0
62,morning,60.0,Monday,Electronic,6.3559322033898304,0,0,21.0,6.0,30.0
63,evening,30.0,Tuesday,Electronic,7.3899371069182385,1,0,28.0,24.0,11.75
64,afternoon,30.0,Tuesday,Cash,7.321428571428572,0,0,32.0,8.0,10.25
65,evening,15.0,Tuesday,Electronic,6.976744186046512,1,0,32.0,8.0,9.0
66,afternoon,15.0,Monday,Electronic,8.950617283950617,0,0,7.0,7.0,7.25
67,morning,15.0,Monday,Cash,10.416666666666668,0,1,32.0,8.0,6.25
68,evening,60.0,Tuesday,Electronic,6.982543640897756,0,0,59.0,61.0,28.0
69,evening,15.0,Monday,Cash,7.692307692307692,0,1,56.0,8.0,10.0
70,evening,15.0,Tuesday,Electronic,10.526315789473685,1,0,32.0,28.0,6.0
71,evening,15.0,Monday,Electronic,9.574468085106384,1,0,8.0,24.0,9.0
72,evening,30.0,Tuesday,Electronic,6.979695431472082,1,1,8.0,28.0,13.75
73,evening,45.0,Tuesday,Electronic,6.388888888888888,1,0,32.0,8.0,17.25
74,afternoon,15.0,Monday,Electronic,10.714285714285714,1,0,8.0,8.0,6.0
75,evening,15.0,Tuesday,Electronic,7.394366197183099,1,1,8.0,24.0,10.5
76,evening,30.0,Tuesday,Electronic,6.842105263157895,1,0,32.0,28.0,13.0
77,morning,15.0,Tuesday,Cash,8.51063829787234,0,0,8.0,32.0,8.0
78,afternoon,15.0,Tuesday,Cash,7.6923076923076925,0,0,8.0,8.0,11.0
79,evening,30.0,Tuesday,Cash,6.4575645756457565,0,0,32.0,7.0,17.5
80,evening,15.0,Tuesday,Electronic,8.1140350877193,1,0,32.0,28.0,9.25
81,morning,15.0,Monday,Cash,9.539473684210526,0,0,8.0,8.0,7.25
82,evening,15.0,Tuesday,Electronic,6.906077348066298,1,1,28.0,8.0,12.5
83,evening,30.0,Tuesday,Cash,7.078313253012048,0,0,8.0,28.0,11.75
84,night,60.0,Monday,Cash,6.5136476426799,0,0,28.0,28.0,26.25
85,evening,15.0,Tuesday,Electronic,16.0,1,0,32.0,8.0,20.0
86,morning,60.0,Monday,Electronic,6.719817767653759,0,1,7.0,8.0,29.5
87,evening,30.0,Tuesday,Cash,6.627906976744186,0,0,28.0,8.0,14.25
88,afternoon,15.0,Tuesday,Electronic,10.416666666666668,1,0,28.0,28.0,6.25
89,evening,0.6,Monday,Electronic,10.416666666666668,1,0,32.0,8.0,6.25
90,afternoon,0.6,Monday,Electronic,10.0,1,0,8.0,8.0,6.0
91,afternoon,0.6,Monday,Cash,10.416666666666668,0,1,8.0,32.0,6.25
92,morning,15.0,Monday,Cash,8.61111111111111,0,0,8.0,8.0,7.75
93,evening,30.0,Tuesday,Electronic,6.203703703703703,1,0,8.0,24.0,16.75
94,morning,60.0,Tuesday,Electronic,6.498829039812647,0,0,44.0,43.0,27.75
95,evening,15.0,Tuesday,Cash,7.500000000000001,0,0,32.0,8.0,10.5
96,evening,30.0,Tuesday,Electronic,5.590062111801242,1,0,32.0,28.0,9.0
97,afternoon,0.62,Monday,Cash,10.080645161290322,0,0,8.0,8.0,6.25
98,morning,30.0,Monday,Electronic,6.4575645756457565,0,0,6.0,3.0,17.5
99,evening,0.52,Tuesday,Electronic,11.057692307692307,1,0,8.0,8.0,5.75
100,morning,15.0,Tuesday,Electronic,9.177215189873417,0,0,32.0,32.0,7.25
101,morning,0.51,Tuesday,Electronic,11.274509803921568,1,0,32.0,32.0,5.75
102,evening,15.0,Tuesday,Electronic,5.487804878048781,1,0,8.0,28.0,9.0
103,afternoon,30.0,Tuesday,Cash,7.394366197183099,0,0,77.0,77.0,10.5
104,evening,30.0,Monday,Cash,6.971153846153846,0,0,8.0,8.0,14.5
105,morning,0.5,Tuesday,Cash,121.74,0,0,8.0,8.0,60.87
106,night,15.0,Tuesday,Electronic,10.526315789473685,1,1,8.0,8.0,6.0
107,evening,30.0,Tuesday,Electronic,4.424657534246575,1,0,8.0,24.0,9.69
108,evening,30.0,Monday,Cash,7.03125,0,0,8.0,32.0,11.25
109,morning,15.0,Monday,Cash,10.245901639344263,0,0,32.0,32.0,6.25
110,evening,15.0,Tuesday,Cash,7.3076923076923075,0,0,8.0,8.0,9.5
111,evening,15.0,Tuesday,Electronic,7.5,1,0,32.0,8.0,9.75
112,evening,15.0,Tuesday,Cash,7.954545454545454,0,0,32.0,32.0,8.75
113,evening,15.0,Tuesday,Electronic,7.6,1,0,32.0,8.0,9.5
114,morning,15.0,Monday,Cash,6.882022471910112,0,0,8.0,8.0,12.25
115,evening,15.0,Tuesday,Electronic,6.625,1,0,32.0,24.0,13.25
116,evening,15.0,Tuesday,Electronic,8.0,1,0,8.0,28.0,8.0
117,evening,15.0,Tuesday,Electronic,8.5,1,0,8.0,28.0,8.5
118,afternoon,15.0,Monday,Electronic,8.0,1,0,28.0,32.0,8.0
119,evening,30.0,Tuesday,Electronic,6.714876033057852,0,0,75.0,53.0,16.25
120,morning,15.0,Tuesday,Cash,7.450331125827814,0,0,8.0,32.0,11.25
121,afternoon,75.0,Tuesday,Electronic,6.263048016701461,0,0,44.0,69.0,30.0
122,evening,30.0,Tuesday,Electronic,7.08092485549133,0,0,1.0,2.0,12.25
123,afternoon,75.0,Tuesday,Electronic,5.9171597633136095,0,0,39.0,69.0,30.0
124,afternoon,15.0,Tuesday,Electronic,9.285714285714286,1,0,8.0,8.0,6.5
125,afternoon,15.0,Monday,Cash,11.428571428571429,0,1,32.0,28.0,8.0
126,evening,30.0,Tuesday,Electronic,6.338028169014085,1,0,28.0,8.0,13.5
127,morning,75.0,Tuesday,Electronic,5.896686159844054,0,0,43.0,42.0,30.25
128,evening,15.0,Tuesday,Electronic,6.805555555555555,1,0,32.0,8.0,12.25
129,evening,30.0,Tuesday,Electronic,6.275720164609053,1,0,32.0,8.0,15.25
130,afternoon,90.0,Tuesday,Electronic,6.456241032998565,1,0,43.0,33.0,45.0
131,morning,30.0,Monday,Cash,7.078313253012048,0,0,8.0,8.0,11.75
132,evening,0.67,Tuesday,Electronic,9.701492537313433,1,0,32.0,28.0,6.5
133,afternoon,30.0,Tuesday,Electronic,6.805555555555555,0,0,41.0,41.0,12.25
134,evening,1.1,Tuesday,Electronic,8.863636363636363,1,0,28.0,8.0,9.75
135,evening,15.0,Monday,Cash,9.09090909090909,0,1,28.0,8.0,10.0
136,morning,15.0,Tuesday,Cash,9.722222222222221,0,0,32.0,8.0,5.25
137,afternoon,30.0,Tuesday,Electronic,5.425414364640884,0,0,8.0,24.0,9.82
138,morning,0.94,Tuesday,Electronic,7.9787234042553195,0,0,8.0,8.0,7.5
139,evening,0.5,Tuesday,Cash,9.5,0,1,8.0,8.0,4.75
140,afternoon,15.0,Tuesday,Cash,6.973684210526316,0,0,32.0,28.0,13.25
141,afternoon,0.73,Tuesday,Cash,9.246575342465754,0,0,8.0,32.0,6.75
142,evening,15.0,Tuesday,Electronic,9.701492537313433,1,1,32.0,32.0,6.5
143,morning,30.0,Wednesday,Cash,7.565789473684211,0,0,8.0,32.0,11.5
144,afternoon,15.0,Tuesday,Cash,7.419354838709677,0,0,8.0,8.0,11.5
145,evening,15.0,Monday,Cash,7.263513513513514,0,0,3.0,3.0,10.75
146,evening,60.0,Tuesday,Electronic,5.65,1,0,32.0,6.0,28.25
147,evening,30.0,Tuesday,Electronic,6.511627906976744,1,0,32.0,8.0,14.0
148,morning,45.0,Tuesday,Cash,5.994152046783626,0,0,8.0,8.0,20.5
149,evening,60.0,Monday,Electronic,6.104651162790698,0,0,43.0,43.0,26.25
150,afternoon,0.58,Tuesday,Cash,10.344827586206897,0,1,8.0,8.0,6.0
151,evening,30.0,Tuesday,Electronic,5.732484076433121,1,0,32.0,8.0,9.0
152,evening,30.0,Tuesday,Electronic,6.375,1,1,8.0,28.0,12.75
153,afternoon,15.0,Monday,Electronic,8.75,1,0,8.0,32.0,10.5
154,afternoon,15.0,Monday,Cash,9.583333333333334,0,1,8.0,8.0,5.75
155,evening,30.0,Tuesday,Electronic,6.875,1,0,32.0,8.0,11.0
156,evening,15.0,Tuesday,Cash,8.75,0,1,32.0,8.0,7.0
157,morning,15.0,Tuesday,Cash,9.0625,0,0,8.0,8.0,7.25
158,afternoon,45.0,Tuesday,Electronic,5.985915492957747,1,1,8.0,24.0,17.0
159,afternoon,15.0,Tuesday,Cash,11.5,0,0,32.0,8.0,5.75
160,morning,30.0,Monday,Electronic,6.911764705882353,0,0,59.0,58.0,11.75
161,evening,15.0,Tuesday,Cash,6.61764705882353,0,0,32.0,8.0,11.25
162,evening,15.0,Tuesday,Cash,7.5,0,1,8.0,8.0,7.5
163,morning,75.0,Monday,Cash,5.681818181818182,0,0,8.0,8.0,31.25
164,evening,45.0,Tuesday,Electronic,5.816831683168317,0,0,6.0,2.0,23.5
165,afternoon,15.0,Monday,Cash,7.459677419354839,0,0,8.0,32.0,9.25
166,evening,0.84,Tuesday,Cash,8.333333333333334,0,0,32.0,8.0,7.0
167,morning,15.0,Monday,Electronic,6.153846153846153,1,0,32.0,32.0,8.0
168,afternoon,15.0,Tuesday,Electronic,9.0625,1,1,32.0,8.0,7.25
169,evening,15.0,Tuesday,Electronic,7.6923076923076925,0,0,8.0,8.0,9.0
170,evening,15.0,Tuesday,Electronic,7.3076923076923075,1,0,32.0,8.0,9.5
171,evening,15.0,Tuesday,Electronic,6.56934306569343,1,0,8.0,28.0,9.0
172,afternoon,15.0,Tuesday,Electronic,5.326530612244897,1,0,8.0,8.0,10.44
173,morning,15.0,Tuesday,Electronic,10.377358490566037,1,1,8.0,32.0,5.5
174,morning,15.0,Tuesday,Electronic,8.928571428571429,1,0,8.0,32.0,6.25
175,morning,15.0,Tuesday,Cash,7.364341085271318,0,0,32.0,32.0,9.5
176,evening,30.0,Tuesday,Electronic,6.638418079096045,1,0,32.0,8.0,11.75
177,evening,15.0,Tuesday,Electronic,8.0,1,0,8.0,28.0,8.0
178,afternoon,30.0,Monday,Cash,13.214285714285715,0,0,77.0,77.0,37.0
179,evening,0.52,Monday,Electronic,11.057692307692307,1,1,32.0,8.0,5.75
180,evening,15.0,Tuesday,Electronic,6.666666666666667,1,1,32.0,28.0,11.0
181,evening,15.0,Tuesday,Cash,7.638888888888888,0,0,8.0,8.0,8.25
182,evening,15.0,Tuesday,Cash,7.75,0,1,28.0,32.0,7.75
183,evening,15.0,Tuesday,Electronic,8.333333333333334,1,0,8.0,28.0,7.5
184,afternoon,15.0,Tuesday,Cash,8.333333333333334,0,0,8.0,8.0,7.5
185,morning,0.9,Tuesday,Electronic,12.222222222222221,0,0,32.0,32.0,11.0
186,evening,15.0,Tuesday,Electronic,7.115384615384615,1,1,32.0,8.0,9.25
187,evening,15.0,Monday,Cash,11.0,0,1,32.0,33.0,5.5
188,evening,15.0,Tuesday,Electronic,8.238636363636363,1,1,32.0,8.0,7.25
189,evening,15.0,Tuesday,Electronic,6.80379746835443,1,1,8.0,8.0,10.75
190,evening,15.0,Monday,Cash,10.185185185185185,0,0,8.0,8.0,5.5
191,afternoon,45.0,Monday,Cash,5.742459396751741,0,0,8.0,8.0,24.75
192,afternoon,15.0,Tuesday,Electronic,7.377049180327869,1,0,8.0,24.0,9.0
193,night,15.0,Monday,Cash,10.0,0,0,33.0,33.0,6.0
194,afternoon,30.0,Tuesday,Cash,4.70383275261324,0,0,32.0,8.0,13.5
195,evening,15.0,Tuesday,Electronic,7.964601769911505,1,0,8.0,8.0,9.0
196,night,0.57,Tuesday,Cash,10.526315789473685,0,0,32.0,32.0,6.0
197,afternoon,15.0,Tuesday,Cash,7.377049180327869,0,0,8.0,8.0,9.0
198,evening,15.0,Tuesday,Electronic,5.357142857142858,1,0,28.0,8.0,9.0
199,evening,15.0,Tuesday,Electronic,9.15492957746479,1,1,8.0,8.0,6.5
200,evening,15.0,Tuesday,Electronic,6.317204301075268,1,1,32.0,8.0,11.75
201,evening,60.0,Monday,Electronic,5.943396226415095,0,0,12.0,77.0,31.5
202,evening,30.0,Tuesday,Electronic,6.075697211155379,1,1,32.0,8.0,15.25
203,afternoon,15.0,Monday,Cash,8.433734939759036,0,1,8.0,8.0,7.0
204,evening,15.0,Monday,Electronic,15.254237288135593,1,0,32.0,32.0,9.0
205,morning,60.0,Monday,Electronic,6.083844580777097,0,0,71.0,69.0,29.75
206,evening,15.0,Tuesday,Electronic,9.523809523809524,1,0,32.0,8.0,6.0
207,evening,15.0,Tuesday,Electronic,11.0,1,1,8.0,8.0,5.5
208,evening,15.0,Tuesday,Electronic,7.666666666666667,1,0,32.0,8.0,11.5
209,evening,0.5,Tuesday,Other,10.5,0,0,8.0,8.0,5.25
210,morning,15.0,Tuesday,Cash,11.0,0,0,32.0,28.0,5.5
211,evening,0.5,Monday,Cash,11.0,0,0,8.0,8.0,5.5
212,morning,0.5,Monday,Cash,11.0,0,0,8.0,8.0,5.5
213,morning,0.5,Monday,Cash,11.0,0,0,8.0,8.0,5.5
214,morning,60.0,Monday,Cash,5.710659898477157,0,0,7.0,3.0,33.75
215,evening,15.0,Tuesday,Electronic,8.653846153846153,1,0,8.0,8.0,9.0
216,evening,15.0,Tuesday,Electronic,6.622516556291391,1,0,28.0,8.0,10.0
217,afternoon,60.0,Monday,Electronic,5.96646942800789,0,0,38.0,33.0,30.25
218,afternoon,15.0,Monday,Cash,8.904109589041097,0,1,32.0,32.0,6.5
219,night,30.0,Monday,Electronic,11.875,1,1,76.0,6.0,38.0
220,morning,15.0,Monday,Electronic,9.09090909090909,0,0,8.0,8.0,6.0
221,morning,15.0,Tuesday,Electronic,13.432835820895521,1,0,8.0,8.0,9.0
222,evening,1.07,Monday,Electronic,7.4766355140186915,0,0,2.0,2.0,8.0
223,evening,15.0,Tuesday,Electronic,8.333333333333334,0,1,28.0,28.0,7.0
224,evening,15.0,Tuesday,Cash,10.377358490566037,0,0,8.0,8.0,5.5
225,afternoon,15.0,Monday,Cash,7.954545454545454,0,0,8.0,8.0,8.75
226,evening,15.0,Tuesday,Electronic,10.087719298245615,1,0,8.0,8.0,5.75
227,evening,30.0,Tuesday,Electronic,6.095041322314049,1,0,32.0,24.0,14.75
228,morning,15.0,Tuesday,Cash,7.451923076923077,0,0,32.0,32.0,7.75
229,afternoon,90.0,Monday,Electronic,3.9030955585464335,0,0,8.0,28.0,29.0
230,evening,15.0,Tuesday,Electronic,7.4074074074074066,1,0,8.0,8.0,8.0
231,morning,30.0,Monday,Cash,6.25,0,0,8.0,8.0,15.5
232,evening,30.0,Tuesday,Electronic,6.470588235294118,1,0,28.0,8.0,11.0
233,evening,30.0,Tuesday,Electronic,5.877483443708609,1,1,32.0,7.0,17.75
234,morning,60.0,Tuesday,Electronic,5.627009646302251,0,0,42.0,43.0,35.0
235,morning,0.74,Tuesday,Cash,8.783783783783784,0,0,8.0,8.0,6.5
236,evening,15.0,Monday,Cash,11.0,0,0,32.0,32.0,5.5
237,morning,60.0,Monday,Electronic,5.646481178396072,0,0,39.0,43.0,34.5
238,afternoon,15.0,Tuesday,Electronic,8.333333333333334,1,1,8.0,8.0,7.5
239,morning,30.0,Tuesday,Cash,6.395348837209303,0,1,76.0,8.0,19.25
240,afternoon,0.63,Tuesday,Electronic,14.285714285714286,1,0,8.0,8.0,9.0
241,afternoon,45.0,Tuesday,Cash,6.3125,0,0,8.0,8.0,25.25
242,evening,15.0,Tuesday,Electronic,7.08955223880597,1,0,8.0,28.0,9.5
243,evening,0.6,Tuesday,Cash,9.583333333333334,0,0,3.0,3.0,5.75
244,evening,0.6,Tuesday,Electronic,11.25,1,0,8.0,32.0,6.75
245,afternoon,15.0,Tuesday,Electronic,7.5,1,0,8.0,32.0,9.0
246,afternoon,15.0,Tuesday,Electronic,7.5,1,0,8.0,8.0,9.0
247,morning,15.0,Tuesday,Electronic,10.0,1,0,8.0,8.0,6.0
248,evening,15.0,Monday,Cash,10.0,0,0,32.0,32.0,6.0
249,afternoon,0.6,Monday,Other,10.0,0,0,8.0,8.0,6.0
250,afternoon,15.0,Monday,Cash,10.0,0,0,8.0,8.0,6.0
251,afternoon,0.6,Monday,Cash,9.166666666666668,0,0,8.0,8.0,5.5
252,evening,30.0,Tuesday,Cash,6.388888888888888,0,0,8.0,8.0,11.5
253,evening,15.0,Tuesday,Cash,6.666666666666666,0,0,8.0,8.0,12.0
254,afternoon,15.0,Tuesday,Electronic,9.765625,0,0,77.0,77.0,6.25
255,evening,15.0,Tuesday,Cash,6.63265306122449,0,1,8.0,32.0,9.75
256,evening,60.0,Tuesday,Other,5.255102040816326,0,0,8.0,22.0,25.75
257,afternoon,60.0,Monday,Cash,5.751811594202899,0,1,8.0,28.0,31.75
258,afternoon,30.0,Monday,Electronic,6.010452961672474,0,0,8.0,32.0,17.25
259,afternoon,45.0,Tuesday,Electronic,5.658436213991769,0,0,29.0,31.0,27.5
260,morning,15.0,Monday,Cash,10.185185185185185,0,0,32.0,32.0,5.5
261,afternoon,30.0,Monday,Cash,6.666666666666667,0,0,8.0,8.0,17.0
262,evening,15.0,Tuesday,Electronic,6.402439024390245,1,0,32.0,28.0,10.5
