TRIP_DURATION_MIN,FARE_PER_MILE,HAS_TIP,HAS_EXTRAS,PICKUP_COMMUNITY_AREA,DROPOFF_COMMUNITY_AREA,FARE,TRIP_TIME_OF_DAY_evening,TRIP_TIME_OF_DAY_morning,TRIP_TIME_OF_DAY_night,DAY_TYPE_Tuesday,DAY_TYPE_Wednesday,PAYMENT_TYPE_Electronic,PAYMENT_TYPE_Other
30.0,12.447470817120623,1,0,8.0,17.0,31.99,0.0,1.0,0.0,1.0,0.0,1.0,0.0
15.0,8.26271186440678,1,1,8.0,8.0,9.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
15.0,7.945736434108527,0,0,32.0,8.0,10.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
60.0,6.418918918918918,0,1,32.0,24.0,23.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30.0,8.695652173913045,0,0,32.0,8.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30.0,7.971014492753624,1,0,8.0,28.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30.0,7.25,0,0,8.0,28.0,14.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30.0,7.195121951219513,1,1,8.0,28.0,14.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.87,9.195402298850574,0,1,8.0,8.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,11.535483870967742,1,0,32.0,6.0,17.88,1.0,0.0,0.0,0.0,0.0,1.0,0.0
75.0,6.922196796338673,0,0,5.0,13.0,30.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.6,10.833333333333334,0,1,32.0,28.0,6.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,9.375,1,0,8.0,8.0,7.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
15.0,9.375,0,1,32.0,8.0,7.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,11.25,0,0,7.0,7.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30.0,7.962962962962963,1,0,32.0,8.0,10.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
15.0,5.689655172413794,0,0,8.0,8.0,8.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45.0,6.902356902356902,0,0,8.0,8.0,20.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
15.0,5.027932960893855,0,0,8.0,32.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
15.0,9.493670886075948,1,0,32.0,28.0,7.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30.0,8.273381294964029,0,0,32.0,32.0,11.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.52,11.538461538461538,1,0,8.0,8.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
15.0,9.0,0,0,8.0,32.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,8.910891089108912,0,0,8.0,24.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
30.0,8.194444444444445,0,0,76.0,76.0,14.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6,15.0,1,0,7.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
105.0,6.792717086834735,0,0,22.0,34.0,48.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,6.7774936061381075,0,0,13.0,2.0,26.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15.0,7.352941176470589,0,1,32.0,8.0,12.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
60.0,6.625,0,0,41.0,41.0,26.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
45.0,6.979166666666667,1,0,8.0,24.0,16.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
15.0,9.523809523809524,0,0,8.0,32.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,9.337349397590362,0,1,32.0,24.0,7.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0
45.0,7.154882154882155,0,1,28.0,29.0,21.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0
30.0,7.297297297297297,0,0,32.0,32.0,13.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.9,9.166666666666666,0,0,8.0,8.0,8.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.57,10.964912280701755,0,0,32.0,8.0,6.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,10.483870967741936,1,0,32.0,8.0,6.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
60.0,6.567796610169491,0,0,32.0,7.0,23.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,7.962962962962963,0,0,32.0,8.0,10.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,7.643312101910828,1,0,41.0,39.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,6.535648994515539,0,0,2.0,8.0,35.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
15.0,8.189655172413794,0,1,8.0,8.0,9.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.6,10.416666666666668,1,0,32.0,32.0,6.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30.0,7.36842105263158,0,0,3.0,3.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
15.0,8.673469387755102,1,0,8.0,32.0,8.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30.0,7.558139534883721,0,0,3.0,3.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
60.0,6.6537467700258395,0,0,8.0,2.0,25.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30.0,6.4655172413793105,0,1,8.0,8.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,7.215447154471545,0,0,2.0,3.0,17.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,7.4,0,1,8.0,7.0,27.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0
